05.605.755/0001-33SC510102SC      14176 14176 NF  1  03/08/2009S              169,20               12,00N                0,00                0,00                0,00              169,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.072.950/0001-94RS610102SC      14177 14177 NF  1  03/08/2009S              408,00               12,00N                0,00                0,00                0,00              408,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
10.194.833/0002-75SP610102SC      14178 14178 NF  1  03/08/2009S              816,00               12,00N                0,00                0,00                0,00              816,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.745.886/0002-48SC510102SC      14179 14179 NF  1  04/08/2009S               88,85               12,00N                0,00                0,00                0,00               88,85                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.648.477/0016-91SC510102SC      14180 14180 NF  1  04/08/2009S              100,53               12,00N                0,00                0,00                0,00              100,53                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.655.911/0001-11SC510102SC      14181 14181 NF  1  04/08/2009S               63,75               12,00N                0,00                0,00                0,00               63,75                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0074-65SC510102SC      14182 14182 NF  1  04/08/2009S              330,48               12,00N                0,00                0,00                0,00              330,48                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.731.253/0001-84SC510102SC      14183 14183 NF  1  05/08/2009S               42,50               12,00N                0,00                0,00                0,00               42,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.731.253/0001-84SC510102SC      14184 14184 NF  1  05/08/2009S               42,50               12,00N                0,00                0,00                0,00               42,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.828.135/0001-02SC510102SC      14185 14185 NF  1  05/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
