1101-ACR                    10,00 01/09/2009 *** 23977; 
1125                    62.000,00 01/09/2009 *** 23978; 24158; 24158; 24243; 24537; 24593; 24625; 24643; 24791; 24858; 24867; 
1126-DCR                    31,00 01/09/2009 *** 23977; 
F1-150BC                   158,00 01/09/2009 *** 23979; 24026; 24336; 24422; 24581; 24582; 
F1-150BZ                    61,00 01/09/2009 *** 23979; 24026; 24025; 
F1-150NF                   539,00 01/09/2009 *** 23979; 24045; 24026; 24025; 24064; 24336; 24422; 24569; 24581; 24594; 24582; 
F1-160BC                   126,00 01/09/2009 *** 23979; 24026; 24064; 24336; 
F1-160BZ                    56,00 01/09/2009 *** 23979; 24026; 
F1-160NF                   170,00 01/09/2009 *** 23979; 24026; 24025; 24064; 24336; 24911; 
1126BZ                      15,00 01/09/2009 *** 23977; 
2051CR                      41,00 01/09/2009 *** 23949; 24033; 24575; 
AL1022-RNF                  40,00 02/09/2009 *** 23998; 
AL1033-RNF                  40,00 02/09/2009 *** 23998; 
AL1033-RPR                   1,00 02/09/2009 *** 23604; 
AL1034-RNF                  40,00 02/09/2009 *** 23998; 
AL1034-RPR                  10,00 02/09/2009 *** 23997; 
AL1035-CNF                  50,00 02/09/2009 *** 23998; 
AL1035-CPR                  50,00 02/09/2009 *** 23997; 24344; 24345; 
AL1035-RNF                  35,00 02/09/2009 *** 23998; 
AL1035-RPR                  25,00 02/09/2009 *** 23997; 
5010PR                       5,00 02/09/2009 *** 23604; 
AL1016-CPR                   1,00 02/09/2009 *** 23604; 
AL1018-BNF                  20,00 02/09/2009 *** 23998; 
AL1018-BPR                   2,00 02/09/2009 *** 23604; 
AL1018BC                    50,00 02/09/2009 *** 23970; 
AL1018NF                    35,00 02/09/2009 *** 23998; 
AL1021-BOXPR                 1,00 02/09/2009 *** 23604; 
C1-100BC                    35,00 02/09/2009 *** 24026; 24025; 24336; 24581; 
C1-100BZ                     7,00 02/09/2009 *** 24026; 24025; 24323; 
C1-100NF                    83,00 02/09/2009 *** 24045; 24026; 24025; 24336; 24422; 24581; 24911; 
C1-120BC                    23,00 02/09/2009 *** 24026; 24025; 24336; 24581; 24582; 
C1-120BG                     2,00 02/09/2009 *** 24026; 24025; 
C1-120BZ                    35,00 02/09/2009 *** 24026; 24025; 24064; 24323; 24740; 
C1-120CH                     2,00 02/09/2009 *** 24026; 24025; 
C1-120NF                   129,00 02/09/2009 *** 24026; 24025; 24064; 24336; 24581; 24740; 24911; 
AL1037-BNF                  80,00 02/09/2009 *** 23998; 
AL1039-RNF                  80,00 02/09/2009 *** 23998; 
AL1039-RPR                  50,00 02/09/2009 *** 23997; 
AL1081-BPR                  52,00 02/09/2009 *** 23997; 24345; 24345; 24477; 
AL1081NF                    40,00 02/09/2009 *** 23998; 
AL1081PR                    38,00 02/09/2009 *** 23970; 24793; 
F1-200BG                     4,00 02/09/2009 *** 24026; 24025; 
F1-200CH                     4,00 02/09/2009 *** 24026; 24025; 
F2-160BC                     4,00 02/09/2009 *** 24026; 24025; 
F2-160BZ                     2,00 02/09/2009 *** 24026; 24025; 
F2-200BZ                     2,00 02/09/2009 *** 24026; 24025; 
F2-200CH                     2,00 02/09/2009 *** 24026; 24025; 
F2-200NF                    24,00 02/09/2009 *** 24026; 24025; 24064; 
F3-200BZ                     2,00 02/09/2009 *** 24026; 24025; 
F3-200NF                     4,00 02/09/2009 *** 24026; 24025; 
F1-120BC                   120,00 02/09/2009 *** 24026; 24025; 24336; 24422; 24581; 24582; 24582; 
F1-120BG                     4,00 02/09/2009 *** 24026; 24025; 
F1-120CH                    11,00 02/09/2009 *** 24026; 24025; 24422; 
F1-120NF                   291,00 02/09/2009 *** 24045; 24026; 24025; 24336; 24422; 24569; 24581; 24594; 24582; 
F1-133BC                    80,00 02/09/2009 *** 24026; 24025; 24336; 24581; 
F1-133NF                   175,00 02/09/2009 *** 24045; 24026; 24025; 24336; 24581; 24594; 24582; 
1570CR                   3.810,00 02/09/2009 *** 24063; 24084; 24104; 24119; 24118; 24358; 24367; 24638; 24741; 24844; 
F1-150BG                     4,00 02/09/2009 *** 24026; 24025; 
1571CR                   3.811,00 02/09/2009 *** 24063; 24084; 24119; 24118; 24137; 24358; 24367; 24741; 24742; 24844; 
F1-150CH                    12,00 02/09/2009 *** 24026; 24025; 24422; 24894; 
1571OT                      29,00 02/09/2009 *** 24034; 24844; 
1571PR                   1.233,00 02/09/2009 *** 24034; 24084; 24119; 24118; 24556; 24367; 24625; 24696; 24077; 24844; 
1679CR                       8,00 02/09/2009 *** 24033; 24033; 
1702NF                       7,00 02/09/2009 *** 24023; 24882; 
F1-160PR                     1,00 02/09/2009 *** 24025; 
F1-180BZ                    12,00 02/09/2009 *** 24026; 24025; 
F1-180NF                    65,00 02/09/2009 *** 24026; 24025; 24336; 24569; 24581; 24911; 
J3-150X120NF                60,00 02/09/2009 *** 24045; 24344; 24394; 24649; 
J3-200X120NF                66,00 02/09/2009 *** 24045; 24394; 24636; 24649; 24647; 
SP-02CR                     42,00 02/09/2009 *** 24028; 24210; 24434; 24867; 24845; 
SP-04CR                      9,00 02/09/2009 *** 24028; 
F1-133BZ                    20,00 02/09/2009 *** 24026; 24025; 
F2-160NF                     4,00 02/09/2009 *** 24026; 24025; 
AL1021-RNF                  40,00 02/09/2009 *** 23998; 
AL1022-BOXPR                 1,00 02/09/2009 *** 23604; 
1013CR                      75,00 03/09/2009 *** 22396; 
F1-150PR                   130,00 03/09/2009 *** 24064; 24422; 24581; 
1510-MCR                   146,00 03/09/2009 *** 24094; 24423; 24768; 24881; 
1607PR                      25,00 03/09/2009 *** 22396; 
1511-MCR                    92,00 03/09/2009 *** 24094; 24423; 24740; 24768; 
F2-180BZ                     5,00 03/09/2009 *** 24064; 
F2-180NF                    21,00 03/09/2009 *** 24064; 
1511-XCR                   819,00 03/09/2009 *** 24104; 24115; 24299; 24423; 24593; 24881; 24770; 
1710-MCR                   102,00 04/09/2009 *** 24119; 24526; 24881; 
1510-XPR                   242,00 04/09/2009 *** 24118; 24320; 24594; 24648; 24741; 
1813CR                      50,00 04/09/2009 *** 24137; 
1511-JXCR                  500,00 04/09/2009 *** 24115; 24243; 24593; 24768; 
1502NF                      50,00 04/09/2009 *** 24119; 
1123VD                     200,00 04/09/2009 *** 24029; 
AL1037-BBZ                   7,50 04/09/2009 *** 24136; 24507; 
AL1027NF                     1,00 04/09/2009 *** 23215; 
1014NF                     150,00 04/09/2009 *** 24119; 
1511VD                      24,00 04/09/2009 *** 24003; 24768; 
1520-ACR                   266,00 04/09/2009 *** 24115; 24770; 
1521CR                   2.420,00 04/09/2009 *** 24115; 24118; 24299; 24423; 24593; 24367; 24742; 24768; 24881; 
1521VD                   1.425,00 04/09/2009 *** 24115; 24029; 24423; 24470; 24593; 24768; 
1523NF                     135,00 04/09/2009 *** 24119; 24179; 24890; 
1523VD                     140,00 04/09/2009 *** 24029; 24745; 
1570BC                     201,00 04/09/2009 *** 24119; 24556; 
1122-MVD                    20,00 04/09/2009 *** 24137; 
1570NF                     420,00 04/09/2009 *** 24119; 24556; 24625; 24696; 
1570PR                   1.956,00 04/09/2009 *** 24119; 24367; 24625; 24638; 24696; 24844; 24957; 
1132CR                   1.143,00 04/09/2009 *** 24118; 24137; 24768; 24844; 24833; 
1571NF                     759,00 04/09/2009 *** 24119; 24556; 24625; 24696; 24077; 
1589VA35CR                 192,00 04/09/2009 *** 24118; 24470; 24844; 
3530VD                     515,00 04/09/2009 *** 24115; 24881; 24770; 
3532CR                     550,00 04/09/2009 *** 24115; 24768; 24881; 
3532VD                     490,00 04/09/2009 *** 24115; 24768; 24881; 
1510-AVD                    19,00 04/09/2009 *** 24003; 
1511-JXVD                  112,00 04/09/2009 *** 24115; 24768; 
1123CR                     390,00 04/09/2009 *** 24029; 24243; 24593; 24881; 
AL1041NF                     2,00 10/09/2009 *** 24236; 24345; 
AL1042NF                     1,00 10/09/2009 *** 24236; 
1589VA25CR                  62,00 10/09/2009 *** 24243; 24470; 24731; 
1510CR                     120,00 10/09/2009 *** 24243; 24556; 24648; 24768; 
1510-JXCR                  150,00 10/09/2009 *** 24243; 24593; 
1589VA30CR                 173,00 10/09/2009 *** 24243; 24470; 24768; 
3880BZ                      55,00 11/09/2009 *** 24310; 24744; 
3880CR                     100,00 11/09/2009 *** 24309; 24744; 
1125-D                  10.060,00 11/09/2009 *** 24263; 24643; 24427; 
1589VA20PR                   2,00 11/09/2009 *** 24263; 
1589VA30BZ                  25,00 11/09/2009 *** 24263; 24882; 
AL1035-CBC                  15,00 14/09/2009 *** 24344; 
AL1022-BOXBC                 1,00 14/09/2009 *** 24349; 
J3-240X200NF                 2,00 14/09/2009 *** 24394; 
J3-300X120BC                 2,00 14/09/2009 *** 24394; 
J3-300X120NF                 4,00 14/09/2009 *** 24394; 
J3-300X150BC                32,00 14/09/2009 *** 24394; 24636; 24647; 
J3-300X150NF                24,00 14/09/2009 *** 24394; 24636; 24647; 
J3-300X200NF                 1,00 14/09/2009 *** 24394; 
J3-300X200PR                 2,00 14/09/2009 *** 24394; 
J3-360X120NF                 3,00 14/09/2009 *** 24394; 
J3-360X150NF                 2,00 14/09/2009 *** 24394; 
J3-360X200NF                 2,00 14/09/2009 *** 24394; 
J3-400X120NF                 2,00 14/09/2009 *** 24394; 
J3-400X120PR                 2,00 14/09/2009 *** 24394; 
J3-400X150NF                 2,00 14/09/2009 *** 24394; 
J3-400X150PR                 2,00 14/09/2009 *** 24394; 
J3-400X200NF                 2,00 14/09/2009 *** 24394; 
J1-150X150NF                32,00 14/09/2009 *** 24394; 24636; 24647; 
J1-150X200BC                 2,00 14/09/2009 *** 24394; 
J1-150X200NF                 6,00 14/09/2009 *** 24394; 
J1-160X120BC                 2,00 14/09/2009 *** 24394; 
J1-160X120NF                 6,00 14/09/2009 *** 24394; 
J1-160X150BC                 2,00 14/09/2009 *** 24394; 
J1-160X150NF                 4,00 14/09/2009 *** 24394; 
J1-160X150PR                 2,00 14/09/2009 *** 24394; 
J1-160X200BC                 2,00 14/09/2009 *** 24394; 
J1-160X200NF                 2,00 14/09/2009 *** 24394; 
J1-180X120NF                 2,00 14/09/2009 *** 24394; 
J1-180X150NF                 2,00 14/09/2009 *** 24394; 
J1-180X200BC                 2,00 14/09/2009 *** 24394; 
J1-180X200NF                 2,00 14/09/2009 *** 24394; 
J1-180X200PR                 2,00 14/09/2009 *** 24394; 
J1-200X120NF                 2,00 14/09/2009 *** 24394; 
J1-200X120PR                 2,00 14/09/2009 *** 24394; 
